category,대출건수합계,평균대출건수
717.6,1032,8.32258064516129
152.222,1028,14.082191780821917
236.99,1025,146.42857142857142
365,1025,16.80327868852459
081,1020,18.88888888888889
560,1017,22.6
476,1015,19.901960784313726
981.4402,1013,25.974358974358974
325.19,1012,9.035714285714286
349,1012,8.363636363636363
223.53,1001,17.25862068965517
688.09,996,11.717647058823529
551.151,996,18.79245283018868
453,991,12.3875
657.5,988,20.163265306122447
151.4,985,98.5
513.994,982,8.767857142857142
910,982,12.921052631578947
364.45,982,26.54054054054054
420.12,980,19.215686274509803
812.68,980,17.5
420.1,978,18.807692307692307
657,978,23.285714285714285
517.54,975,13.928571428571429
619.5,963,24.075
942,959,14.753846153846155
370.13,955,14.469696969696969
710.7,954,15.142857142857142
152.27,954,36.69230769230769
413.8,953,17.017857142857142
325.571,949,10.908045977011493
892.96,949,22.069767441860463
809,947,10.182795698924732
188.7,940,18.431372549019606
005.8,937,8.596330275229358
514.325,928,20.17391304347826
005.115,926,16.535714285714285
340,924,10.744186046511627
594.62,923,20.065217391304348
332.6,922,13.36231884057971
183,922,21.441860465116278
657.3,920,26.285714285714285
337.04,917,14.107692307692307
004.2,914,20.772727272727273
181.12,912,24.64864864864865
321.32,909,27.545454545454547
234.2,907,17.442307692307693
911.063,905,5.65625
320.04,903,15.305084745762711
670.9,901,13.861538461538462
141.2,899,12.661971830985916
187,897,15.736842105263158
004.583,893,28.806451612903224
711.25,892,15.649122807017545
909.2,892,35.68
591.7,889,10.337209302325581
491,884,11.05
325.2113,880,23.157894736842106
982.602,879,17.235294117647058
155.9,877,12.710144927536232
858,871,16.12962962962963
617,868,23.45945945945946
321.5,863,12.154929577464788
745.4,861,30.75
982.802,860,23.88888888888889
688.04,860,12.835820895522389
020.13,857,19.044444444444444
594.1,850,12.318840579710145
810.9,849,7.580357142857143
592.3014,845,56.333333333333336
420.13,845,14.083333333333334
309.113,844,9.813953488372093
375.108,841,25.484848484848484
836,838,23.27777777777778
539.7,837,6.065217391304348
475,836,18.57777777777778
325.33,835,12.846153846153847
389,834,14.631578947368421
519.74,832,20.29268292682927
598.132,829,29.607142857142858
069,827,18.795454545454547
911.02,827,15.314814814814815
892.95,827,13.783333333333333
373.5,822,17.125
363,821,15.788461538461538
981.23402,819,40.95
909.54,818,14.607142857142858
192.7,815,40.75
443.8,807,32.28
598.4,805,18.295454545454547
188.4,803,20.075
695,801,80.1
539.99,797,18.53488372093023
234,797,18.976190476190474
370.88,791,13.40677966101695
911.032,791,21.37837837837838
199.4,784,19.121951219512194
370.77,783,19.575
920.3,783,17.795454545454547
165.47,783,22.37142857142857
517.34,782,26.066666666666666
701,781,8.48913043478261
184,777,25.9
810.81,775,8.806818181818182
181.845,773,33.608695652173914
005.135,771,24.870967741935484
337,771,12.435483870967742
233.5,769,18.30952380952381
474,767,29.5
730.77,766,22.529411764705884
813.609,766,11.606060606060606
166.8,765,8.315217391304348
152.226,765,16.27659574468085
911.829,764,21.22222222222222
911.6,762,13.137931034482758
525.4,760,16.52173913043478
574,759,15.8125
322.01,753,10.91304347826087
517.5,750,14.423076923076923
326.23,748,20.216216216216218
911.0553,747,11.492307692307692
309.112,745,7.680412371134021
185.51,742,15.142857142857142
900,741,3.26431718061674
005.567,740,22.424242424242426
152,740,11.935483870967742
181.38,736,21.647058823529413
001.4,735,45.9375
338.1,733,21.558823529411764
004.16,732,14.076923076923077
676.28,731,19.756756756756758
188.1,730,24.333333333333332
846,729,15.51063829787234
901,728,12.133333333333333
724,727,25.964285714285715
677.43,727,23.451612903225808
539.98,723,10.632352941176471
412,723,26.77777777777778
989,722,14.73469387755102
332.22,718,13.547169811320755
982.402,711,22.93548387096774
811.609,709,8.542168674698795
334.14,709,20.257142857142856
981.202,708,15.063829787234043
511.4813,708,17.26829268292683
454,707,11.783333333333333
527.386,705,19.583333333333332
650.9,704,29.333333333333332
381,704,13.538461538461538
497,704,11.540983606557377
598.125,702,18.473684210526315
327.9,701,14.604166666666666
658.3,699,16.25581395348837
373.2,699,13.18867924528302
005.44,696,15.130434782608695
802.53,694,10.676923076923076
690.8,694,138.8
639.5,693,17.76923076923077
152.08,689,98.42857142857143
998.65,689,98.42857142857143
527.41,686,18.05263157894737
673.311,682,35.89473684210526
911.04,681,9.202702702702704
519,680,8.5
711.2,679,10.134328358208956
590,675,24.107142857142858
740.4,674,22.466666666666665
150,674,8.64102564102564
360.4,673,20.393939393939394
606.9,672,17.23076923076923
921,671,15.604651162790697
592,669,19.114285714285714
377.37,666,13.058823529411764
325.2,665,10.23076923076923
457.2,665,30.227272727272727
594.54,664,21.419354838709676
734,661,21.322580645161292
148,658,13.708333333333334
897.7,658,36.55555555555556
364,655,16.375
740.8,655,36.388888888888886
388.611,655,36.388888888888886
338.18,654,43.6
420.99,653,18.13888888888889
325.484,653,15.926829268292684
816,652,32.6
539.92,651,7.75
026,651,32.55
592.023,651,25.03846153846154
593,648,24.923076923076923
331.23,647,13.76595744680851
918,646,14.681818181818182
594.82,644,15.333333333333334
517.31,643,17.86111111111111
005.117,642,10.35483870967742
214,640,12.549019607843137
591.9,640,11.636363636363637
600.18,638,17.72222222222222
853.8,637,57.90909090909091
350.4,637,42.46666666666667
372.6,637,24.5
005.5,630,18.0
224.81,630,14.0
385.1,629,48.38461538461539
802.26,625,34.72222222222222
332.23,625,11.79245283018868
513.46,625,13.88888888888889
182.13,624,48.0
029.5,618,16.7027027027027
231.1,618,15.846153846153847
402,617,18.696969696969695
542.1,616,15.794871794871796
998.8,615,36.1764705882353
802.066,614,19.1875
892.1082,610,61.0
342,610,10.892857142857142
598.58,610,32.10526315789474
920.38,609,40.6
005.58,605,12.1
336,603,23.192307692307693
671,603,22.333333333333332
320.906,602,40.13333333333333
321.2,601,21.464285714285715
911.033,601,11.557692307692308
660.4,600,14.634146341463415
386.511,597,37.3125
232,597,11.264150943396226
594.675,596,13.545454545454545
005.55,595,21.25
661.5,594,21.214285714285715
005.76,591,10.189655172413794
371,591,8.208333333333334
579.55,590,21.071428571428573
235.35,590,12.040816326530612
610.4,589,12.804347826086957
691.6,588,26.727272727272727
653.2,586,16.27777777777778
513.8525,585,15.0
381.75,583,7.878378378378378
070.4,583,9.557377049180328
189.24,581,12.630434782608695
609.11,581,7.085365853658536
594.504,581,14.525
516.5,580,23.2
338.13,578,36.125
984.202,576,18.0
325.581,574,10.25
004.78,573,12.456521739130435
985.02,572,14.3
208,572,63.55555555555556
476.01,572,12.434782608695652
310.16,571,14.64102564102564
440.8,570,11.875
362.11,568,11.591836734693878
420.04,568,25.818181818181817
691.9,568,22.72
230,567,8.723076923076922
518.5,566,17.6875
695.7,566,16.17142857142857
181.9,566,25.727272727272727
598.48,566,14.15
340.942,564,8.545454545454545
630,564,16.114285714285714
193,564,24.52173913043478
409.9,558,16.41176470588235
656.25,558,24.26086956521739
911.055,558,24.26086956521739
549.7,557,12.659090909090908
320.904,556,16.352941176470587
321.3,556,8.6875
656.6,556,29.263157894736842
164.56,554,46.166666666666664
229,554,13.85
569.4,553,13.487804878048781
637,553,34.5625
695.4099,551,22.04
235.3,551,11.479166666666666
512.804,551,26.238095238095237
670.4,550,7.4324324324324325
224.8,549,9.631578947368421
573.2,549,11.934782608695652
852,549,21.96
182.3,547,11.16326530612245
327.857,546,30.333333333333332
998.3,545,15.13888888888889
182.4,543,28.57894736842105
561.1,541,21.64
843.4,538,13.121951219512194
802.2,538,20.692307692307693
673.53,535,12.738095238095237
517.89,535,12.159090909090908
904,533,23.17391304347826
598.2,533,44.416666666666664
598.124,533,16.65625
414,532,21.28
739.82,532,14.777777777777779
839.64,532,11.565217391304348
911.034,531,16.09090909090909
696.1,528,37.714285714285715
126.5,528,9.428571428571429
338.023,527,43.916666666666664
520.4,526,14.216216216216216
005.756,525,9.90566037735849
986.202,524,22.782608695652176
182,524,32.75
881,523,27.526315789473685
802.068,522,17.4
185.3,522,20.88
668,522,8.847457627118644
392.19,518,19.185185185185187
681.6,517,19.884615384615383
485.16,516,17.79310344827586
631.4,515,34.333333333333336
194.2,511,24.333333333333332
180.1,510,24.285714285714285
453.9,509,9.788461538461538
980.29,508,26.736842105263158
741,508,13.368421052631579
569,508,15.875
005.73,507,12.365853658536585
152.212,507,26.68421052631579
476.10733,507,10.346938775510203
322.8,504,11.454545454545455
331.47,504,6.072289156626506
481.9911,504,14.0
701.7,502,7.070422535211268
437,501,22.772727272727273
310,501,18.555555555555557
379.1,500,20.0
911.058,499,12.794871794871796
525.92,498,12.146341463414634
326.162,497,19.88
364.4,496,16.0
326.2,496,16.0
233.71,492,12.947368421052632
688.13,491,11.69047619047619
525.9,491,12.921052631578947
194.3,489,44.45454545454545
375.16,488,24.4
519.8,487,10.822222222222223
374,486,12.461538461538462
500,486,4.5
559.98,486,18.0
222.2,485,15.15625
372.61,485,17.962962962962962
349.9,484,7.446153846153846
569.3,484,11.804878048780488
677.61,484,32.266666666666666
498,483,8.473684210526315
924,483,19.32
770,483,17.25
234.82,482,13.027027027027026
379.2,481,20.041666666666668
527.47,480,18.46153846153846
228.7,480,9.056603773584905
470.4,480,12.307692307692308
435.12,479,28.176470588235293
004.61,479,11.682926829268293
593.24,478,19.12
005,478,15.419354838709678
594.04,477,13.25
005.75,477,12.23076923076923
560.77,477,36.69230769230769
711,475,9.693877551020408
320.912,474,8.464285714285714
892.8081,473,33.785714285714285
235.4,472,13.11111111111111
841,470,6.266666666666667
499.746,470,19.583333333333332
330.4,467,6.768115942028985
810.906,466,6.563380281690141
598.5,466,16.642857142857142
525.7,465,13.676470588235293
919.4,464,21.09090909090909
598.6,464,10.545454545454545
513.16,462,21.0
513.85,461,12.45945945945946
165.21,459,17.0
998.34,459,28.6875
181.91,457,24.05263157894737
856,457,19.869565217391305
326.37,456,18.24
688.6,453,22.65
365.4,453,14.15625
338.073,453,75.5
429,453,15.1
745.7,453,32.357142857142854
328,452,20.545454545454547
517.548,452,16.142857142857142
192.5,451,22.55
911.55,451,6.536231884057971
036,449,32.07142857142857
126,449,8.314814814814815
235.84,448,5.670886075949367
004.5,448,10.666666666666666
981.8702,447,18.625
378.1,447,13.147058823529411
340.22,445,4.684210526315789
341,444,15.857142857142858
912.033,444,19.304347826086957
327.94,441,12.25
350,441,12.25
513.898,441,9.8
598,438,24.333333333333332
600.99,437,9.931818181818182
998.6,436,10.9
981.1602,434,14.0
981.108,431,47.888888888888886
412.9,431,23.944444444444443
360.1,431,8.62
714.4,431,9.795454545454545
610.911,430,9.772727272727273
556.6,427,35.583333333333336
431.14,423,23.5
410.1,422,13.1875
879.3,422,70.33333333333333
792.8,421,9.152173913043478
513.8914,421,15.592592592592593
233.8,421,15.035714285714286
610,420,16.153846153846153
998.4,418,13.0625
720.77,418,27.866666666666667
376.5,417,34.75
334.21,416,10.947368421052632
811.9,416,8.851063829787234
004.582,415,34.583333333333336
005.758,415,10.921052631578947
519.9,415,13.833333333333334
802.1,415,12.575757575757576
326.14,414,21.789473684210527
181.383,414,16.56
331.234,414,10.615384615384615
220.99,414,14.275862068965518
542,413,25.8125
367.5,412,17.166666666666668
375.441,411,17.125
559.962,411,13.258064516129032
472.52642,409,20.45
579.12,408,37.09090909090909
235.7,408,12.363636363636363
517.96,406,23.88235294117647
330.911,406,6.88135593220339
435,404,28.857142857142858
320.8,404,22.444444444444443
325.7,404,12.242424242424242
660.1,404,15.538461538461538
199.7,404,12.242424242424242
909.5,402,12.5625
320.942,401,13.366666666666667
611,401,20.05
367.99,400,57.142857142857146
334.2,400,10.81081081081081
471,399,19.95
909.1,398,49.75
639,398,33.166666666666664
181.37,398,33.166666666666664
731.4,397,14.178571428571429
004.76077,396,22.0
813,396,3.5357142857142856
367.4,396,14.666666666666666
183.3,395,23.235294117647058
188.8,395,18.80952380952381
981.3402,394,26.266666666666666
231.8,392,8.909090909090908
188.3,392,23.058823529411764
237,391,11.17142857142857
515.7,390,16.956521739130434
676.27,390,19.5
558,390,15.6
385,389,10.513513513513514
673.511,387,8.6
998.5,386,14.296296296296296
325.01,386,11.352941176470589
199.6,386,12.0625
839.4,384,21.333333333333332
673.193,383,34.81818181818182
713,382,6.701754385964913
911.0723,381,6.803571428571429
236,381,7.9375
600.1,381,8.659090909090908
309,380,14.074074074074074
004.22,380,13.571428571428571
823.8,379,16.47826086956522
911.0077,379,47.375
513,378,19.894736842105264
598.12,378,27.0
654.35,377,19.842105263157894
981.02,375,12.096774193548388
372.62,374,17.80952380952381
592.021,373,19.63157894736842
187.1,371,21.823529411764707
502.9,370,9.487179487179487
367.431,370,37.0
413.1,370,16.818181818181817
698.97,369,23.0625
481,368,10.514285714285714
504,368,14.72
388.111,366,6.310344827586207
530.4,365,13.518518518518519
530.1,365,13.035714285714286
556.53,364,15.826086956521738
602,364,45.5
591.8,363,10.083333333333334
594.5547,361,14.44
004.58,360,14.4
981.3102,360,30.0
742,359,17.95
854,356,9.128205128205128
331.4,356,4.1395348837209305
350.35,356,22.25
334.6,355,12.678571428571429
471.2,355,8.255813953488373
981.4602,353,35.3
188,350,16.666666666666668
592.38,349,21.8125
325.6,349,12.03448275862069
512.869,349,34.9
510.19,348,10.545454545454545
409.11,348,12.428571428571429
633.5,347,21.6875
654.5,347,17.35
604,347,26.692307692307693
636,346,31.454545454545453
005.51,345,38.333333333333336
982.502,345,17.25
539.99077,344,38.22222222222222
760,344,14.956521739130435
412.85,343,19.055555555555557
598.104,343,9.27027027027027
011.3,341,14.208333333333334
511.18,341,11.366666666666667
300.8,341,16.238095238095237
610.99,340,20.0
777.5,339,21.1875
325.9027,339,30.818181818181817
892.5,338,37.55555555555556
710.8,338,37.55555555555556
220.1,338,8.45
443.2,338,26.0
694.3,338,10.5625
325.431,337,10.870967741935484
811.08,337,5.524590163934426
325.489,337,12.035714285714286
430.8,333,55.5
711.1,333,10.090909090909092
004.52,333,13.32
801,333,8.325
812.6,332,4.611111111111111
114.5,332,23.714285714285715
220,331,8.487179487179487
600.8,330,13.2
320.3,330,27.5
981.32302,330,17.36842105263158
515.731,330,33.0
495.8,330,14.347826086956522
411,329,25.307692307692307
181.1,329,27.416666666666668
600.13,328,6.188679245283019
542.8,328,23.428571428571427
592.02,327,19.235294117647058
542.2,327,20.4375
912.06,325,12.5
325.431077,325,36.111111111111114
750,324,19.058823529411764
327.43,324,23.142857142857142
472.88,323,20.1875
559.9,322,16.1
513.8522,321,16.894736842105264
918.63,321,14.590909090909092
152.25,320,14.545454545454545
830,319,26.583333333333332
617.81,318,19.875
431,318,31.8
340.265,317,22.642857142857142
415,317,15.095238095238095
165.84,316,15.8
513.8,316,22.571428571428573
472.52638,315,31.5
473,315,10.5
337.8,315,9.545454545454545
813.61,314,8.722222222222221
540.4,314,14.272727272727273
810.819,314,10.827586206896552
477.3,314,12.076923076923077
472.52636,313,14.227272727272727
448,313,14.904761904761905
012.4,312,24.0
430.4,312,62.4
480.4,311,14.136363636363637
932,310,16.31578947368421
365.1,310,18.235294117647058
379.4,309,10.3
594.5543,309,22.071428571428573
594.5544,308,20.533333333333335
383.8,308,30.8
326.73,307,23.615384615384617
020,307,7.675
223,307,10.586206896551724
376,307,18.058823529411764
433,307,25.583333333333332
231.177,306,10.2
573.94,306,10.928571428571429
802.6,306,14.571428571428571
981.502,305,13.26086956521739
513.35,305,19.0625
368.11,305,10.892857142857142
388.8,305,16.05263157894737
362,305,7.625
811.62,304,6.608695652173913
191.6,304,10.857142857142858
843.09,303,11.653846153846153
399.12,303,33.666666666666664
981.16,303,21.642857142857142
828,301,9.121212121212121
320.76,300,50.0
188.2,300,30.0
897,299,33.22222222222222
232.8,299,11.96
594.6,298,10.642857142857142
510.34,298,22.923076923076923
201,298,6.081632653061225
